timestamp,open,high,low,close,volume
2018-10-03T00:00:00+00:00,6533.6,6547.5,6430.6,6461.0,1431.65610877
2018-10-03T04:00:00+00:00,6464.6,6487.7,6441.7,6462.7,1089.37828182
2018-10-03T08:00:00+00:00,6461.5,6509.6,6452.3,6493.9,1120.44156771
2018-10-03T12:00:00+00:00,6493.9,6546.8,6463.9,6511.5,1301.34968778
2018-10-03T16:00:00+00:00,6508.4,6527.6,6454.1,6476.0,1087.9789577
2018-10-03T20:00:00+00:00,6474.9,6535.8,6450.0,6510.4,1110.52870291
2018-10-04T00:00:00+00:00,6510.4,6645.0,6501.8,6599.8,1671.32115239
2018-10-04T04:00:00+00:00,6600.3,6618.1,6570.4,6573.2,1132.54471089
2018-10-04T08:00:00+00:00,6573.1,6618.0,6565.7,6574.0,1212.60087313
2018-10-04T12:00:00+00:00,6570.8,6600.0,6568.0,6597.4,1055.38727298
2018-10-04T16:00:00+00:00,6599.9,6620.0,6583.2,6610.5,942.83004339
2018-10-04T20:00:00+00:00,6612.6,6615.5,6558.5,6590.3,979.68034479
2018-10-05T00:00:00+00:00,6590.7,6628.6,6550.0,6579.5,1218.17702785
2018-10-05T04:00:00+00:00,6575.9,6605.6,6568.4,6577.9,885.27367578
2018-10-05T08:00:00+00:00,6577.0,6598.3,6564.4,6587.6,939.46210705
2018-10-05T12:00:00+00:00,6589.2,6607.3,6581.8,6594.0,869.4997221
2018-10-05T16:00:00+00:00,6594.0,6610.6,6575.6,6593.8,863.51789282
2018-10-05T20:00:00+00:00,6597.6,6690.5,6586.8,6636.4,1562.92476344
2018-10-06T00:00:00+00:00,6636.4,6646.6,6579.0,6607.5,985.96480397
2018-10-06T04:00:00+00:00,6608.6,6625.6,6605.2,6621.5,870.30313199
2018-10-06T08:00:00+00:00,6621.6,6629.9,6573.0,6586.8,993.25229913
2018-10-06T12:00:00+00:00,6587.9,6602.3,6567.3,6600.0,973.8753287
2018-10-06T16:00:00+00:00,6599.0,6606.6,6586.8,6590.9,941.99171434
2018-10-06T20:00:00+00:00,6594.3,6606.0,6582.8,6594.8,867.88579952
2018-10-07T00:00:00+00:00,6594.8,6608.6,6588.8,6605.3,879.12567006
2018-10-07T04:00:00+00:00,6607.5,6611.6,6570.0,6573.0,935.20646295
2018-10-07T08:00:00+00:00,6573.0,6577.4,6531.7,6555.8,1166.83549743
2018-10-07T12:00:00+00:00,6555.8,6585.3,6550.0,6580.2,898.02650772
2018-10-07T16:00:00+00:00,6580.2,6597.6,6576.6,6585.3,818.64266629
2018-10-07T20:00:00+00:00,6585.3,6639.5,6579.8,6614.6,1141.4243179
2018-10-08T00:00:00+00:00,6613.6,6623.6,6600.4,6607.5,1330.12297488
2018-10-08T04:00:00+00:00,6609.7,6613.0,6589.8,6597.7,809.85031792
2018-10-08T08:00:00+00:00,6597.7,6669.5,6592.2,6643.7,1187.4990843
2018-10-08T12:00:00+00:00,6643.9,6698.2,6643.8,6672.1,2325.97251415
2018-10-08T16:00:00+00:00,6669.6,6698.0,6657.0,6691.0,931.55704932
2018-10-08T20:00:00+00:00,6694.0,6698.0,6663.8,6672.4,794.11199264
2018-10-09T00:00:00+00:00,6669.1,6677.0,6651.6,6664.3,769.40850594
2018-10-09T04:00:00+00:00,6665.0,6680.0,6656.9,6664.7,1023.30063176
2018-10-09T08:00:00+00:00,6664.8,6668.5,6634.8,6643.5,612.11830973
2018-10-09T12:00:00+00:00,6644.1,6648.4,6610.5,6638.2,689.91926112
2018-10-09T16:00:00+00:00,6640.3,6670.0,6627.3,6656.6,537.75036529
2018-10-09T20:00:00+00:00,6659.0,6667.7,6642.6,6657.6,338.38958207
2018-10-10T00:00:00+00:00,6653.9,6656.6,6593.7,6613.4,771.41136014
2018-10-10T04:00:00+00:00,6613.0,6623.3,6527.7,6574.6,1336.31151669
2018-10-10T08:00:00+00:00,6573.6,6604.5,6566.0,6589.4,540.92942546
2018-10-10T12:00:00+00:00,6589.2,6612.8,6587.2,6590.1,443.1148088
2018-10-10T16:00:00+00:00,6590.1,6645.0,6581.0,6637.3,620.58701617
2018-10-10T20:00:00+00:00,6639.8,6642.6,6610.8,6628.6,311.99878598
2018-10-11T00:00:00+00:00,6626.0,6628.6,6250.0,6340.0,5441.00434947
2018-10-11T04:00:00+00:00,6339.0,6368.6,6259.0,6301.0,1918.21053357
2018-10-11T08:00:00+00:00,6301.0,6321.4,6275.0,6282.5,592.52242567
2018-10-11T12:00:00+00:00,6280.0,6330.1,6218.4,6291.2,1403.94738458
2018-10-11T16:00:00+00:00,6290.8,6331.6,6288.0,6297.1,294.49650419
